基金代码,基金简称,最新净值(元),日增长率(%),最新净值日期,是否指数基金,跟踪指数,跟踪指数市盈率,跟踪指数市净率(倍),跟踪指数股息率(%),跟踪指数roe(%),近6个月收益率(%),折扣率
290010.OF,泰信中证200指数基金,1.47,-0.34,20210811.,指数基金,中证200,22.28,2.19,1.47,5.20,0.34,0.10
310318.OF,申万菱信沪深300指数增强a,3.72,-0.50,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-6.66,0.10
310398.OF,申万沪深300价值指数a,1.47,0.76,20210811.,指数基金,300价值,8.04,0.82,4.06,5.34,-7.15,0.10
320010.OF,诺安中证100指数a,2.01,-0.54,20210811.,指数基金,中证100,13.07,1.37,2.62,5.52,-12.45,0.10
320014.OF,诺安沪深300指数增强a,1.71,-0.38,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-6.52,0.10
370023.OF,上投摩根中证消费服务领先指数,2.21,-1.29,20210811.,指数基金,消费服务,13.70,1.50,2.29,5.78,-19.41,0.10
399001.OF,中海上证50指数增强,1.54,-0.71,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-10.11,0.10
410008.OF,华富中证100指数,2.23,-0.52,20210811.,指数基金,中证100,13.07,1.37,2.62,5.52,-11.20,0.10
410010.OF,华富中小企业100指数增强型,1.66,-0.02,20210811.,指数基金,中小100,35.25,4.68,0.89,7.30,-9.57,0.10
450008.OF,国富沪深300指数增强,1.81,-0.33,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-9.69,0.10
460220.OF,华泰柏瑞上证中小盘etf联接,1.55,0.42,20210811.,指数基金,上证中小,15.16,1.37,2.23,4.76,4.78,0.10
460300.OF,华泰柏瑞沪深300etf联接a,1.22,-0.50,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.19,0.10
470007.OF,汇添富上证综合指数,1.17,-0.17,20210811.,指数基金,上证指数,15.86,1.44,2.23,4.77,-5.09,0.10
470068.OF,汇添富深证300etf联接,2.07,-0.34,20210811.,指数基金,深证300R,31.67,3.88,1.05,6.63,-7.65,0.10
481009.OF,工银沪深300指数a,1.21,-0.52,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.22,0.10
481012.OF,工银深红利etf联接a,1.53,0.00,20210811.,指数基金,深红利,17.35,2.41,2.23,7.35,-21.93,0.10
501005.OF,精准医疗,1.72,-1.91,20210811.,指数基金,CS精准医,71.17,11.60,0.37,9.52,-13.67,0.10
501006.OF,精准医c,1.69,-1.91,20210811.,指数基金,CS精准医,71.17,11.60,0.37,9.52,-13.84,--
501007.OF,汇添富中证互联网医疗指数(lof)a,1.17,-1.02,20210811.,指数基金,CS互医疗,63.59,7.21,0.39,6.40,-7.74,0.10
501008.OF,汇添富中证互联网医疗指数(lof)c,1.15,-1.02,20210811.,指数基金,CS互医疗,63.59,7.21,0.39,6.40,-7.93,--
501009.OF,汇添富中证生物科技指数(lof)a,2.52,-2.29,20210811.,指数基金,中证生科,68.90,11.24,0.41,9.45,-9.80,0.10
501010.OF,汇添富中证生物科技指数(lof)c,2.51,-2.29,20210811.,指数基金,中证生科,68.90,11.24,0.41,9.45,-9.98,--
501011.OF,汇添富中证中药指数(lof)a,1.10,-1.06,20210811.,指数基金,中证中药,34.91,3.49,1.52,5.13,8.57,0.10
501012.OF,汇添富中证中药指数(lof)c,1.08,-1.07,20210811.,指数基金,中证中药,34.91,3.49,1.52,5.13,8.35,--
501016.OF,国泰中证申万证券行业指数(lof),1.15,-0.78,20210811.,指数基金,CSSW证券,22.01,1.74,1.54,4.26,0.69,0.10
501019.OF,国泰国证航天军工指数(lof),1.50,-0.45,20210811.,指数基金,国证军工,79.89,4.28,0.31,2.90,22.00,0.10
501021.OF,香港中小a,1.82,-0.18,20210811.,指数基金,--,--,--,--,--,-4.82,0.10
501023.OF,鹏华香港中小企业指数(lof),1.23,0.10,20210811.,指数基金,港中小企,--,--,2.79,2.28,6.34,0.10
501025.OF,鹏华香港银行指数(lof)a,0.98,1.75,20210811.,指数基金,HK银行,--,--,5.97,5.35,1.31,0.10
501029.OF,红利基金a,1.20,1.18,20210811.,指数基金,标普A股红利,--,--,5.24,--,8.65,0.10
501030.OF,汇添富中证环境治理指数(lof)a,0.58,1.38,20210811.,指数基金,环境治理,33.35,1.85,1.08,2.93,12.25,0.10
501031.OF,汇添富中证环境治理指数(lof)c,0.58,1.39,20210811.,指数基金,环境治理,33.35,1.85,1.08,2.93,11.99,--
501036.OF,汇添富中证500指数(lof)a,1.26,0.81,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,11.69,0.10
501037.OF,汇添富中证500指数(lof)c,1.25,0.82,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,11.55,--
501043.OF,汇添富沪深300指数(lof)a,1.56,-0.46,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-8.85,0.10
501045.OF,汇添富沪深300指数(lof)c,1.55,-0.46,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-8.96,--
501047.OF,汇添富中证全指证券公司指数(lof)a,1.13,-0.93,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,-3.43,0.10
501048.OF,汇添富中证全指证券公司指数(lof)c,1.13,-0.93,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,-3.56,--
501050.OF,华夏上证50ah优选指数(lof)a,1.55,-0.58,20210811.,指数基金,50AH优选HKD,6.39,0.66,3.21,5.42,-15.06,0.10
501057.OF,汇添富中证新能源汽车产业指数(lof)a,3.20,1.68,20210811.,指数基金,新能源车,201.45,12.18,0.17,3.33,32.01,0.10
501058.OF,汇添富中证新能源汽车产业指数(lof)c,3.17,1.68,20210811.,指数基金,新能源车,201.45,12.18,0.17,3.33,31.84,--
501059.OF,国企红利a,1.78,2.25,20210811.,指数基金,--,--,--,--,--,3.22,0.10
501060.OF,金选300a,1.78,0.63,20210811.,指数基金,中金300,9.48,1.01,3.54,5.57,0.88,0.10
501061.OF,金选300c,1.77,0.63,20210811.,指数基金,中金300,9.48,1.01,3.54,5.57,0.75,--
501067.OF,招商富时a-h50指数a,1.44,-0.39,20210811.,指数基金,--,--,--,--,--,-16.34,0.10
501068.OF,招商富时a-h50指数c,1.42,-0.39,20210811.,指数基金,--,--,--,--,--,-16.50,--
501069.OF,华宝a股质量价值(lof),1.47,0.38,20210811.,指数基金,--,--,--,--,--,-0.19,0.10
501072.OF,国金红利增强,0.98,0.93,20210811.,指数基金,--,--,--,--,--,-2.05,0.10
501086.OF,华宝msci中国a股国际通esg指数(lof)a,1.52,-0.29,20210811.,指数基金,--,--,--,--,--,-6.61,0.10
501089.OF,方正富邦消费红利指数增强(lof),1.36,-0.34,20210811.,指数基金,消费红利,29.39,5.43,2.19,9.64,-2.76,0.10
501090.OF,华宝消费龙头指数a,1.53,-1.35,20210811.,指数基金,消费龙头,33.26,7.34,1.23,11.94,-22.40,0.10
501301.OF,香港大盘,1.09,0.82,20210811.,指数基金,恒生中国(香港上市)25指数,--,--,2.99,6.19,-13.91,0.10
501302.OF,恒生联接a,1.03,0.25,20210811.,指数基金,恒生指数,--,--,2.65,4.89,-10.60,0.10
501303.OF,广发恒生中型股指数(lof)a,1.08,-0.18,20210811.,指数基金,恒生综合中型股指数,--,--,3.07,4.49,-7.23,0.10
501305.OF,汇添富中证港股通高股息投资指数(lof)a,0.90,2.11,20210811.,指数基金,港股通高股息,--,--,7.77,5.13,3.25,0.10
501306.OF,汇添富中证港股通高股息投资指数(lof)c,0.89,2.12,20210811.,指数基金,港股通高股息,--,--,7.77,5.13,3.04,--
501307.OF,银河高股息lof,1.07,1.53,20210811.,指数基金,SHS高股息HKD,1.28,0.13,7.01,5.13,4.16,0.10
501308.OF,银河高c,1.06,1.54,20210811.,指数基金,SHS高股息HKD,1.28,0.13,7.01,5.13,4.04,--
501309.OF,国泰恒生港股通指数(lof),1.18,0.20,20210811.,指数基金,恒生港股通指数,--,--,3.24,4.87,-12.39,0.10
501310.OF,华宝标普沪港深中国增强价值指数(lof)a,0.92,2.16,20210811.,指数基金,--,--,--,--,--,4.29,0.10
501311.OF,嘉实港股通新经济指数(lof)a,1.41,-0.68,20210811.,指数基金,恒生港股通新经济指数,--,--,0.59,2.97,-12.51,0.10
502000.OF,西部利得中证500指数增强(lof)a,1.84,1.27,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,10.92,0.10
502003.OF,易方达中证军工指数(lof)a,1.58,-0.28,20210811.,指数基金,中证军工,77.96,4.53,0.32,3.09,16.81,0.10
502006.OF,易方达中证国有企业改革指数(lof)a,1.54,0.20,20210811.,指数基金,国企改革,17.16,1.24,3.18,3.75,-7.36,0.10
502010.OF,易方达中证全指证券公司指数(lof)a,1.24,-0.75,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,-1.85,0.10
502013.OF,长盛中证申万一带一路指数(lof),1.50,-0.32,20210811.,指数基金,CSSW丝路,10.11,1.15,3.16,5.96,-9.38,0.10
502020.OF,国金上证50指数增强(lof),1.18,-0.79,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-17.41,0.10
502023.OF,鹏华国证钢铁行业指数(lof)a,1.99,2.00,20210811.,指数基金,国证钢铁,18.81,1.43,2.31,3.92,45.77,0.10
502040.OF,长盛上证50指数(lof),1.14,-0.67,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-12.68,0.10
502048.OF,易方达上证50指数(lof)a,1.20,-0.66,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-14.41,0.10
502053.OF,长盛中证证券公司指数(lof),1.03,-0.72,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,-0.20,0.10
502056.OF,广发中证医疗指数(lof)a,1.52,-1.86,20210811.,指数基金,中证医疗,60.96,12.44,0.47,12.23,-10.66,0.10
510010.OF,交银上证180公司治理etf,1.49,0.27,20210811.,指数基金,180治理,9.84,0.96,3.48,5.10,-5.73,--
510020.OF,博时上证超大盘etf,3.47,-0.87,20210811.,指数基金,超大盘,12.41,1.55,2.59,6.53,-15.57,--
510030.OF,华宝兴业上证180价值etf,0.80,1.01,20210811.,指数基金,180价值,7.44,0.75,4.45,5.25,-3.80,--
510050.OF,华夏上证50etf,3.30,-0.78,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-17.25,--
510060.OF,工银上证央企50etf,2.07,0.80,20210811.,指数基金,上证央企,8.84,0.82,3.97,4.84,-7.27,--
510080.OF,长盛全债指数增强债券,1.47,-0.05,20210811.,指数基金,标普中国全债,--,--,--,--,4.47,0.10
510090.OF,建信上证社会责任etf,2.46,0.15,20210811.,指数基金,责任指数,11.43,1.22,2.92,5.61,-3.41,--
510100.OF,易方达上证50etf,1.31,-0.68,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-14.83,--
510110.OF,海富通上证周期etf,4.01,0.50,20210811.,指数基金,上证周期,8.39,0.83,4.02,5.16,-10.16,--
510120.OF,海富通上证非周期etf,4.43,-1.25,20210811.,指数基金,非周期,30.35,3.58,1.07,6.32,-12.77,--
510130.OF,易方达上证中盘etf,6.03,0.07,20210811.,指数基金,上证中盘,12.67,1.21,2.58,5.04,1.54,--
510150.OF,招商上证消费80etf,0.79,-1.62,20210811.,指数基金,消费80,48.03,6.52,0.81,7.20,-15.86,--
510160.OF,南方小康etf,0.72,0.61,20210811.,指数基金,小康指数,12.62,1.24,2.49,5.18,-1.17,--
510170.OF,国联安上证商品etf,3.46,2.31,20210811.,指数基金,上证商品,24.77,1.33,2.98,2.71,27.02,--
510180.OF,华安上证180etf,4.12,-0.49,20210811.,指数基金,上证180,12.70,1.27,2.66,5.25,-11.40,--
510190.OF,华安上证龙头etf,4.05,-0.32,20210811.,指数基金,上证龙头,14.06,1.50,2.60,5.58,-6.74,--
510200.OF,汇安上证证券etf,1.18,-0.64,20210811.,指数基金,上证证券,21.70,1.67,1.60,4.11,3.28,--
510210.OF,上证指数etf,0.98,0.00,20210811.,指数基金,上证指数,15.86,1.44,2.23,4.77,-3.74,--
510220.OF,华泰柏瑞上证中小盘etf,6.02,0.44,20210811.,指数基金,上证中小,15.16,1.37,2.23,4.76,4.58,--
510230.OF,国泰上证180金融etf,1.06,0.39,20210811.,指数基金,180金融,7.12,0.74,4.29,5.51,-11.70,--
510270.OF,中银上证国企100etf,1.33,0.08,20210811.,指数基金,上证国企,10.68,1.02,3.25,5.03,-9.40,--
510290.OF,南方上证380etf,2.19,0.89,20210811.,指数基金,上证380,19.33,1.86,1.87,5.05,11.66,--
510300.OF,华泰柏瑞沪深300etf,5.08,-0.54,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.99,--
510310.OF,易方达沪深300etf发起式,2.32,-0.54,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.65,--
510330.OF,华夏沪深300etf,5.09,-0.55,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.98,--
510350.OF,工银瑞信沪深300etf,5.13,-0.52,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.60,--
510360.OF,广发沪深300etf,1.73,-0.54,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-11.18,--
510370.OF,兴业沪深300etf,1.06,-0.58,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-12.63,--
510380.OF,国寿安保沪深300etf,1.34,-0.51,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.95,--
510390.OF,平安沪深300etf,5.29,-0.54,20210811.,指数基金,沪深300,15.26,1.57,2.22,5.44,-10.79,--
510410.OF,博时上证自然资源etf,1.05,2.03,20210811.,指数基金,上证资源,24.70,1.20,3.18,2.45,26.17,--
510440.OF,大成中证500沪市etf,2.22,0.82,20210811.,指数基金,500沪市,23.94,1.85,1.71,4.03,9.98,--
510500.OF,南方中证500etf,7.94,0.76,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.03,--
510510.OF,广发中证500etf,2.11,0.78,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.57,--
510530.OF,工银瑞信中证500etf,7.17,0.76,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,8.74,--
510550.OF,方正富邦中证500etf,1.73,0.75,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,8.23,--
510560.OF,国寿安保中证500etf,1.56,0.76,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.86,--
510570.OF,兴业中证500etf,1.06,0.79,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,7.96,--
510580.OF,易方达中证500etf,0.81,0.82,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,10.98,--
510590.OF,平安中证500etf,7.79,0.78,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,10.22,--
510600.OF,申万菱信上证50etf,3.84,-0.69,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-13.89,--
510630.OF,华夏上证主要消费etf,1.35,-2.09,20210811.,指数基金,上证消费,51.37,11.25,0.97,11.64,-17.92,--
510650.OF,华夏上证金融地产etf,2.08,0.84,20210811.,指数基金,上证金融,6.82,0.72,4.39,5.54,-7.24,--
510660.OF,华夏上证医药卫生etf,3.54,-1.36,20210811.,指数基金,上证医药,53.60,6.81,0.53,6.94,-2.64,--
510680.OF,万家上证50etf,3.10,-0.78,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-14.26,--
510690.OF,兴业上证180金融etf,1.04,0.37,20210811.,指数基金,180金融,7.12,0.74,4.29,5.51,-12.12,--
510710.OF,博时上证50etf,4.02,-0.72,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-15.78,--
510760.OF,国泰上证综合etf,1.04,-0.04,20210811.,指数基金,上证指数,15.86,1.44,2.23,4.77,-1.93,--
510800.OF,建信上证50etf,1.36,-0.71,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-15.46,--
510810.OF,中证上海国企etf,0.84,0.01,20210811.,指数基金,上海国企,10.99,0.96,3.22,4.57,-6.13,--
510850.OF,工银上50,3.39,-0.72,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-16.86,--
510860.OF,兴业上证50etf,0.92,-0.79,20210811.,指数基金,上证50,12.72,1.31,2.72,5.42,-17.28,--
510880.OF,华泰柏瑞上证红利etf,2.86,1.99,20210811.,指数基金,红利指数,5.77,0.58,5.77,5.21,10.37,--
510890.OF,兴业上证红利低波动etf,1.15,0.35,20210630.,指数基金,--,--,--,--,--,--,--
510900.OF,易方达恒生国企(qdii-etf),1.04,0.54,20210811.,指数基金,恒生中国企业指数,--,--,2.58,5.77,-18.35,--
510990.OF,工银瑞信中证180esgetf,0.98,-0.55,20210811.,指数基金,180ESG,12.11,1.19,2.80,5.17,--,--
511010.OF,国泰上证5年期国债etf,124.71,-0.06,20210811.,指数基金,5年国债,--,--,--,--,2.62,--
511020.OF,平安中证5-10年期国债活跃券etf,107.56,-0.07,20210811.,指数基金,中证5-10年国债活跃券,--,--,--,--,3.27,--
511030.OF,平安中债-中高等级公司债利差因子etf,10.34,-0.01,20210811.,指数基金,中债中高等级公司债利差因子指数(总值)财富指数,--,--,--,--,2.71,--
511050.OF,兴业上证1-5年期地方政府债etf,101.76,0.00,20210611.,指数基金,--,--,--,--,--,--,--
511060.OF,海富通上证5年期地方政府债etf,102.75,-0.04,20210811.,指数基金,上证5年期地债,--,--,--,--,2.59,--
511180.OF,海富通上证投资级可转债etf,10.56,0.32,20210811.,指数基金,上证投资级转债及可交换债,115.45,5.66,--,2.53,4.24,--
511220.OF,海富通上证城投债etf,98.82,0.03,20210811.,指数基金,沪城投债,4.63,0.05,--,0.54,3.44,--
511260.OF,上证10年期国债etf,114.56,-0.08,20210811.,指数基金,10年国债(利),--,--,--,--,3.79,--
511270.OF,海富通上证10年期地方政府债etf,106.99,0.03,20210811.,指数基金,上证10年地债,--,--,--,--,3.66,--
511280.OF,华夏3-5年中高级可质押信用债etf,113.80,2.89,20210803.,指数基金,--,--,--,--,--,--,--
511310.OF,富国中证10年期国债etf,114.76,-0.12,20210811.,指数基金,中证10年国债,--,--,--,--,3.63,--
511360.OF,海富通中证短融etf,102.92,0.01,20210811.,指数基金,中证短融（利）,--,--,--,--,1.60,--
511380.OF,博时可转债etf,11.29,0.44,20210811.,指数基金,中证转债及可交换债,150.78,8.38,0.71,2.89,8.85,--
512000.OF,券商etf,1.04,-0.86,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,-3.24,--
512010.OF,医药etf,0.74,-2.17,20210811.,指数基金,300医药,54.33,8.39,0.55,8.76,-14.83,--
512040.OF,价值100etf,1.69,1.19,20210811.,指数基金,国信价值,7.31,0.96,4.30,6.87,6.11,--
512070.OF,易方达沪深300非银etf,2.16,-0.54,20210811.,指数基金,300非银,14.06,1.60,2.47,6.08,-12.35,--
512090.OF,易方达msci中国a股国际通etf,1.78,-0.18,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-6.59,--
512100.OF,1000etf,1.10,0.80,20210811.,指数基金,中证1000,46.67,3.11,0.87,3.50,22.46,--
512120.OF,华安中证细分医药etf,2.29,-1.67,20210811.,指数基金,细分医药,48.94,6.78,0.68,7.67,-14.11,--
512150.OF,a50etf,1.76,-0.48,20210811.,指数基金,富时中国A50,--,--,--,--,-14.55,--
512160.OF,msci中国a股国际通etf,1.73,-0.22,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-7.07,--
512170.OF,华宝中证医疗etf,0.81,-1.98,20210811.,指数基金,中证医疗,60.96,12.44,0.47,12.23,-12.09,--
512180.OF,建信msci中国a股国际通etf,1.64,-0.17,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-3.58,--
512190.OF,浙商汇金中证浙江凤凰行动50etf,1.68,0.75,20210811.,指数基金,凤凰50,13.74,1.46,3.08,5.50,16.93,--
512200.OF,南方中证全指房地产etf,0.77,3.02,20210811.,指数基金,房地产,7.27,0.90,3.57,6.47,-6.36,--
512220.OF,景顺长城中证科技传媒通信150etf,1.87,-0.55,20210811.,指数基金,科技传媒通信150,48.51,4.89,0.67,5.47,4.87,--
512260.OF,华安中证500低波etf,1.52,0.46,20210811.,指数基金,500SNLV,15.60,1.30,2.44,4.32,14.71,--
512270.OF,华安沪深300行业中性低波动etf,1.05,0.81,20210809.,指数基金,--,--,--,--,--,--,--
512280.OF,景顺长城msci中国a股国际通etf,1.73,-0.24,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-2.74,--
512290.OF,国泰中证生物医药etf,1.93,-1.86,20210811.,指数基金,CS生医,62.46,9.05,0.48,8.45,-8.10,--
512320.OF,工银msci中国etf,1.12,-0.29,20210811.,指数基金,MSCI中国A股指数,15.62,1.43,2.33,4.78,-8.61,--
512330.OF,南方中证500信息技术etf,1.16,-0.07,20210811.,指数基金,500信息,64.54,3.95,0.47,3.27,20.30,--
512350.OF,兴业中证福建50etf,1.21,0.18,20210811.,指数基金,福建50,25.09,2.87,1.18,6.13,4.13,--
512360.OF,平安msci中国a股国际etf,1.82,-0.25,20210811.,指数基金,MSCI中国A股国际,--,--,--,--,-3.39,--
512380.OF,银华msci中国a股etf,1.56,-0.21,20210811.,指数基金,MSCI中国A股指数,15.62,1.43,2.33,4.78,-5.04,--
512390.OF,平安msci中国a股低波动etf,1.48,-0.38,20210811.,指数基金,--,--,--,--,--,-7.45,--
512400.OF,南方中证申万有色金属etf,1.44,1.91,20210811.,指数基金,有色金属,63.46,3.91,0.62,3.23,24.52,--
512480.OF,国联安中证全指半导体产品与设备etf,1.39,0.65,20210811.,指数基金,半导体,130.51,12.49,0.15,5.49,35.98,--
512500.OF,华夏中证500etf,3.70,0.78,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,9.14,--
512510.OF,华泰柏瑞中证500etf,1.77,0.86,20210811.,指数基金,中证500,25.80,2.00,1.49,4.05,12.12,--
512520.OF,mscietf,1.76,-0.20,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-6.50,--
512530.OF,建信沪深300红利etf,1.19,1.44,20210811.,指数基金,300红利,6.89,0.73,4.75,5.56,-5.20,--
512550.OF,嘉实富时中国a50etf,1.63,-0.63,20210811.,指数基金,富时中国A50,--,--,--,--,-18.66,--
512560.OF,易方达中证军工etf,1.60,-0.28,20210811.,指数基金,中证军工,77.96,4.53,0.32,3.09,18.87,--
512570.OF,易方达中证全指证券公司etf,1.07,-0.85,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,-2.64,--
512580.OF,广发中证环保etf,1.73,1.04,20210811.,指数基金,中证环保,50.40,4.80,0.73,5.23,24.95,--
512590.OF,浦银安盛中证高股息etf,1.49,0.35,20210811.,指数基金,CS高股息,22.53,4.22,1.85,10.05,10.36,--
512600.OF,嘉实中证主要消费etf,4.58,-1.64,20210811.,指数基金,中证消费,37.04,8.01,1.22,11.77,-23.11,--
512610.OF,嘉实中证医药卫生etf,2.17,-1.89,20210811.,指数基金,中证医药,44.12,6.12,0.71,7.61,-12.91,--
512640.OF,嘉实中证金融地产etf,2.02,0.64,20210811.,指数基金,中证金融,7.44,0.78,3.99,5.52,-10.69,--
512650.OF,添富中证长三角etf,1.29,-0.39,20210811.,指数基金,CS长三角,20.02,2.03,1.70,5.37,-5.69,--
512660.OF,国泰中证军工etf,1.38,-0.37,20210811.,指数基金,中证军工,77.96,4.53,0.32,3.09,16.55,--
512670.OF,国防etf,2.27,-0.54,20210811.,指数基金,中证国防,81.75,7.32,0.36,4.83,18.00,--
512680.OF,广发中证军工etf,1.41,-0.34,20210811.,指数基金,中证军工,77.96,4.53,0.32,3.09,16.40,--
512690.OF,酒etf,1.23,-1.92,20210811.,指数基金,中证酒,51.41,11.24,0.95,11.61,-17.31,--
512700.OF,南方中证银行etf,1.22,0.93,20210811.,指数基金,中证银行,5.85,0.59,4.94,5.31,-9.80,--
512710.OF,富国中证军工龙头etf,0.99,-0.60,20210811.,指数基金,军工龙头全收益,61.50,7.15,0.64,6.25,14.49,--
512720.OF,国泰中证计算机主题etf,1.48,-1.52,20210811.,指数基金,CS计算机,67.86,5.78,0.63,4.54,3.93,--
512730.OF,鹏华中证银行etf,1.16,0.94,20210811.,指数基金,中证银行,5.85,0.59,4.94,5.31,-6.62,--
512750.OF,嘉实基本面50etf,1.06,0.88,20210811.,指数基金,基本面50,8.82,0.89,3.80,5.28,-10.34,--
512760.OF,芯片etf,1.61,0.69,20210811.,指数基金,中华半导体芯片,118.51,10.95,0.17,5.33,29.87,--
512770.OF,华夏战略新兴成指etf,2.45,-0.96,20210811.,指数基金,新兴成指,53.44,8.95,0.60,9.45,-2.21,--
512780.OF,广发中证京津冀etf,0.95,0.48,20210811.,指数基金,CS京津冀,26.83,2.20,0.85,4.28,14.86,--
512800.OF,银行etf,1.16,0.90,20210811.,指数基金,中证银行,5.85,0.59,4.94,5.31,-10.23,--
512810.OF,华宝中证军工etf,1.49,-0.24,20210811.,指数基金,中证军工,77.96,4.53,0.32,3.09,23.96,--
512820.OF,中证银行etf,1.18,0.90,20210811.,指数基金,中证银行,5.85,0.59,4.94,5.31,-10.35,--
512830.OF,汇添富中国战略新兴产业etf,--,--,--,指数基金,--,--,--,--,--,--,--
512870.OF,南华中证杭州湾区etf,1.94,-0.25,20210811.,指数基金,杭州湾区,31.20,4.49,0.95,8.04,-5.62,--
512880.OF,证券etf,1.09,-0.87,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,-3.30,--
512890.OF,红利lv,1.48,2.21,20210811.,指数基金,红利低波,5.41,0.57,5.88,5.55,10.21,--
512900.OF,南方中证全指证券etf,1.08,-0.85,20210811.,指数基金,证券公司,22.52,1.75,1.54,4.18,-3.16,--
512910.OF,广发中证100etf,1.40,-0.64,20210811.,指数基金,中证100,13.07,1.37,2.62,5.52,-16.62,--
512920.OF,新华msci中国a股国际etf,1.87,-0.26,20210811.,指数基金,MSCI中国A股国际,--,--,--,--,-7.65,--
512930.OF,平安人工智能etf,1.70,-0.86,20210811.,指数基金,CS人工智,64.91,6.09,0.55,5.09,13.25,--
512950.OF,华夏中证央企etf,1.28,0.87,20210811.,指数基金,结构调整,17.65,1.38,2.44,4.08,4.74,--
512960.OF,博时央企结构调整etf,1.28,0.86,20210811.,指数基金,结构调整,17.65,1.38,2.44,4.08,4.81,--
512970.OF,粤港澳大湾区etf,1.49,-0.27,20210811.,指数基金,大湾区,18.86,2.59,1.56,7.39,-7.88,--
512980.OF,传媒etf,0.69,0.13,20210811.,指数基金,中证传媒,33.28,2.26,1.32,3.51,-18.90,--
512990.OF,华夏msci中国a股国际通etf,1.85,-0.17,20210811.,指数基金,MSCI中国A股国际通指数,--,--,--,--,-6.29,--
513000.OF,易方达日兴资管日经225etf(qdii),1.22,0.44,20210811.,指数基金,日经225,--,--,--,--,-9.65,--
513010.OF,易方达恒生科技etf(qdii),0.85,-0.14,20210811.,指数基金,恒生科技指数,--,--,0.20,4.78,--,--
513030.OF,华安德国30(dax)etf,1.24,0.08,20210810.,指数基金,德国DAX,--,--,--,--,9.07,--
513050.OF,易方达中证海外中国互联网50(qdii-etf),1.55,2.64,20210810.,指数基金,中国互联网50,--,--,0.61,--,-40.79,--
513060.OF,博时恒生医疗保健(qdii-etf),1.01,-2.49,20210811.,指数基金,恒生医疗保健指数,--,--,0.45,2.64,--,--
513080.OF,华安法国cac40etf,1.33,-0.01,20210810.,指数基金,法国CAC40,--,--,--,--,17.85,--
513090.OF,易方达中证香港证券投资主题etf,1.28,0.08,20210811.,指数基金,香港证券,--,--,3.56,4.03,0.37,--
513100.OF,国泰纳斯达克100(qdii-etf),5.01,-0.54,20210810.,指数基金,纳斯达克100,--,--,0.59,--,11.30,--
513130.OF,华泰柏瑞南方东英恒生科技指数etf(qdii),0.86,-0.30,20210811.,指数基金,恒生科技指数,--,--,0.20,4.78,--,--
